               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11712,            0.047267,            0.043132,          0.00093994,            0.019766,          0.00010993,          2.3165e-05,             0.10831,            0.047043,            0.040772,             0.00031,             0.00031,             0.09721
                   1,             0.11312,            0.045864,             0.04062,           0.0010313,            0.076602,          0.00034951,          6.1878e-05,             0.10834,            0.046241,            0.040321,          0.00062988,          0.00062988,             0.09433
                   2,             0.11176,            0.046979,            0.039923,           0.0012135,            0.090142,          0.00046573,          8.4182e-05,             0.10834,            0.046018,            0.040201,          0.00094925,          0.00094925,            0.091449
                   3,             0.11046,            0.046666,            0.039567,           0.0014829,               0.106,           0.0012758,          0.00023462,             0.10814,            0.045832,            0.040104,           0.0012677,           0.0012677,            0.088568
                   4,             0.10855,             0.04564,            0.038547,             0.01886,              0.0182,           0.0044157,           0.0010973,             0.11306,            0.041349,             0.04086,            0.001585,            0.001585,            0.085685
                   5,             0.10408,            0.044451,            0.036064,             0.80823,            0.045574,            0.029855,           0.0074465,             0.10076,            0.042488,            0.035784,           0.0019006,           0.0019006,            0.082801
                   6,            0.099864,            0.043717,            0.033359,             0.80567,            0.070334,            0.037122,           0.0089983,            0.098746,            0.042781,             0.03425,           0.0022142,           0.0022142,            0.079914
                   7,            0.096472,            0.044572,            0.032281,             0.81332,            0.086351,            0.042918,            0.010097,            0.099128,            0.043119,            0.033543,           0.0025254,           0.0025254,            0.077025
                   8,            0.094837,            0.044512,            0.031405,              0.8369,            0.095249,            0.065795,            0.018042,            0.094074,            0.041573,            0.031654,           0.0028339,           0.0028339,            0.074134
                   9,             0.09324,            0.044563,            0.031198,             0.85526,             0.10675,            0.089437,            0.029079,            0.091566,            0.041442,            0.031167,           0.0031393,           0.0031393,            0.071239
                  10,            0.091907,            0.043495,            0.029849,             0.86631,             0.11034,             0.10175,            0.030911,            0.091847,            0.041575,              0.0302,           0.0034413,           0.0034413,            0.068341
                  11,            0.090443,              0.0438,             0.02926,              0.8894,              0.1033,             0.10305,            0.033478,            0.094565,             0.04386,            0.029828,           0.0037394,           0.0037394,            0.065439
                  12,            0.088506,            0.043697,            0.028658,             0.90084,             0.12818,             0.13342,            0.044663,            0.086713,            0.040123,             0.02923,           0.0040334,           0.0040334,            0.062533
                  13,            0.088077,            0.043854,            0.028734,             0.91864,              0.1385,             0.15885,            0.057248,            0.083731,            0.040115,            0.028251,           0.0043229,           0.0043229,            0.059623
                  14,            0.085862,            0.044241,            0.028105,             0.66745,              0.1279,             0.14762,            0.054923,            0.083161,            0.040589,            0.027785,           0.0046076,           0.0046076,            0.056708
                  15,            0.084361,             0.04409,            0.027704,             0.19739,              0.2358,             0.15308,            0.055202,             0.08117,            0.040024,            0.026893,           0.0048872,           0.0048872,            0.053787
                  16,            0.082952,            0.044033,            0.026985,             0.75497,             0.13255,             0.15686,            0.051579,            0.086485,            0.039765,            0.028601,           0.0051613,           0.0051613,            0.050861
                  17,            0.082317,              0.0437,             0.02627,              0.3039,             0.22667,             0.22587,            0.086065,            0.078223,            0.039695,            0.024397,           0.0054297,           0.0054297,             0.04793
                  18,            0.080559,            0.043201,            0.024834,             0.58791,             0.26681,                0.26,            0.088643,            0.076508,            0.038752,            0.020402,            0.005692,            0.005692,            0.044992
                  19,            0.080123,            0.043548,            0.023314,             0.63943,             0.24696,             0.24689,            0.087062,            0.076756,            0.038917,            0.020153,            0.005948,            0.005948,            0.042048
                  20,            0.079212,            0.043575,            0.022155,             0.34915,             0.30946,             0.28573,             0.10198,            0.075341,            0.039143,            0.018451,           0.0061974,           0.0061974,            0.039097
                  21,            0.078186,            0.043332,            0.021349,             0.43234,             0.30363,             0.29316,            0.098078,            0.075871,            0.038851,            0.019266,           0.0064399,           0.0064399,             0.03614
                  22,            0.077376,            0.042893,            0.020225,             0.40217,             0.33363,             0.33551,             0.12086,            0.072818,            0.038202,            0.015967,           0.0066753,           0.0066753,            0.033175
                  23,            0.076536,            0.042064,            0.019021,             0.40319,              0.3632,             0.33371,             0.11212,            0.072726,            0.037562,            0.014906,           0.0069033,           0.0069033,            0.030203
                  24,            0.074946,            0.042301,            0.018177,              0.6242,             0.28774,             0.29209,             0.10607,            0.075938,            0.039906,            0.018753,           0.0071238,           0.0071238,            0.027224
                  25,            0.074626,            0.042603,            0.018112,             0.45746,             0.35171,             0.34363,             0.11629,            0.073508,            0.037278,            0.015313,           0.0073364,           0.0073364,            0.024236
                  26,            0.073589,            0.042927,            0.017444,             0.49879,             0.40422,             0.39877,             0.14766,            0.069462,             0.03695,            0.013442,           0.0075411,           0.0075411,            0.021241
                  27,            0.073532,            0.041862,            0.017031,             0.43693,             0.42026,             0.38054,             0.14254,            0.071369,            0.037925,            0.014051,           0.0077375,           0.0077375,            0.018237
                  28,            0.072729,            0.042307,            0.016819,             0.55742,             0.38301,              0.3932,             0.14679,            0.069018,               0.038,            0.014055,           0.0079256,           0.0079256,            0.015226
                  29,            0.071102,            0.042528,            0.016355,             0.49967,             0.37599,             0.38254,             0.14134,            0.069878,             0.03955,            0.016066,           0.0081051,           0.0081051,            0.012205
                  30,            0.071021,            0.041677,            0.015834,             0.47168,             0.32948,             0.33055,             0.12734,            0.070416,            0.038926,            0.016043,            0.008276,            0.008276,            0.009176
                  31,            0.069625,            0.041804,             0.01584,             0.51197,             0.41821,             0.41728,             0.16206,            0.066856,            0.040499,            0.012716,           0.0082483,           0.0082483,           0.0082483
                  32,            0.069483,            0.041304,            0.015625,             0.52517,             0.41843,             0.42286,             0.17375,            0.066603,            0.039492,             0.01339,           0.0082483,           0.0082483,           0.0082483
                  33,            0.068679,            0.042245,             0.01468,             0.46251,             0.44064,             0.42767,              0.1715,            0.066593,            0.036845,             0.01378,           0.0081433,           0.0081433,           0.0081433
                  34,            0.068027,            0.042073,            0.014778,             0.53039,             0.41169,             0.41768,             0.16536,            0.066879,            0.037346,            0.012408,           0.0080362,           0.0080362,           0.0080362
                  35,            0.067122,            0.040742,             0.01459,             0.54775,             0.43944,             0.45798,             0.18393,             0.06387,            0.036527,            0.011701,            0.007927,            0.007927,            0.007927
                  36,            0.067142,            0.040358,            0.014167,             0.57808,              0.4476,             0.46439,             0.19538,            0.063562,            0.036475,            0.011324,            0.007816,            0.007816,            0.007816
                  37,            0.066198,            0.041256,            0.013948,             0.62029,              0.4391,             0.47279,             0.19684,            0.063433,            0.037088,            0.011752,           0.0077031,           0.0077031,           0.0077031
                  38,            0.066341,            0.041473,            0.014028,               0.555,             0.48229,             0.48384,               0.199,            0.062532,            0.036066,             0.01161,           0.0075886,           0.0075886,           0.0075886
                  39,            0.065217,            0.041116,             0.01332,             0.51826,             0.50193,             0.49543,             0.20751,            0.061584,             0.03605,             0.01064,           0.0074725,           0.0074725,           0.0074725
                  40,            0.065197,            0.041129,            0.013517,             0.52617,              0.4905,             0.49254,             0.20359,            0.062864,            0.035751,            0.010916,            0.007355,            0.007355,            0.007355
                  41,            0.064178,            0.040314,            0.012793,             0.60495,             0.47017,             0.49669,             0.21007,            0.061494,            0.035416,            0.010431,           0.0072361,           0.0072361,           0.0072361
                  42,            0.063488,            0.040727,             0.01272,              0.5735,              0.4951,             0.50521,             0.21229,            0.061735,            0.035672,            0.011806,            0.007116,            0.007116,            0.007116
                  43,            0.063786,            0.040341,            0.012741,             0.60141,             0.47418,             0.49872,             0.20746,            0.061712,            0.035974,            0.010874,           0.0069948,           0.0069948,           0.0069948
                  44,             0.06293,            0.040371,            0.012327,             0.55574,              0.5206,             0.52047,             0.22171,            0.060175,            0.035531,            0.009734,           0.0068726,           0.0068726,           0.0068726
                  45,             0.06322,            0.039989,            0.011958,             0.60216,             0.52124,             0.53628,             0.23225,            0.059537,            0.035431,            0.010782,           0.0067495,           0.0067495,           0.0067495
                  46,            0.062156,            0.040056,            0.011933,             0.59303,             0.52515,             0.53791,              0.2283,            0.059291,            0.035241,           0.0098688,           0.0066257,           0.0066257,           0.0066257
                  47,            0.061647,            0.039275,            0.011932,             0.61564,             0.51435,             0.53134,             0.23148,            0.059897,            0.034741,           0.0099397,           0.0065013,           0.0065013,           0.0065013
                  48,             0.06202,            0.040237,               0.012,             0.62089,             0.50506,             0.52994,             0.22805,            0.059132,            0.035208,             0.01049,           0.0063764,           0.0063764,           0.0063764
                  49,            0.062053,            0.040471,            0.012032,             0.61892,             0.52228,              0.5409,             0.23794,            0.058518,            0.034672,            0.009631,           0.0062512,           0.0062512,           0.0062512
                  50,            0.061281,            0.039841,            0.011664,             0.64351,             0.52477,             0.55671,             0.23824,            0.057842,            0.034479,           0.0091782,           0.0061256,           0.0061256,           0.0061256
                  51,            0.060674,            0.039684,            0.011288,             0.68046,             0.51286,             0.55537,             0.24489,            0.058086,            0.034414,           0.0090144,               0.006,               0.006,               0.006
                  52,            0.060377,            0.039557,            0.011413,             0.64376,             0.51913,             0.55392,             0.24659,            0.057785,            0.034611,            0.009429,           0.0058744,           0.0058744,           0.0058744
                  53,              0.0603,            0.039837,             0.01087,             0.63543,             0.55716,              0.5767,             0.25593,            0.056781,            0.033928,           0.0088636,           0.0057488,           0.0057488,           0.0057488
                  54,            0.060357,            0.039423,            0.011077,             0.62043,             0.53188,             0.54913,              0.2452,            0.057843,            0.034664,            0.010221,           0.0056236,           0.0056236,           0.0056236
                  55,            0.059428,            0.038984,            0.011016,             0.62759,             0.54762,             0.56704,             0.25106,             0.05665,            0.034059,           0.0089579,           0.0054987,           0.0054987,           0.0054987
                  56,            0.059805,            0.039294,            0.011007,             0.69856,               0.519,             0.57287,             0.25455,            0.056251,            0.034079,           0.0085114,           0.0053743,           0.0053743,           0.0053743
                  57,            0.059486,             0.03971,            0.010937,             0.62721,             0.55075,             0.56956,             0.25165,            0.056389,             0.03465,           0.0088025,           0.0052505,           0.0052505,           0.0052505
                  58,            0.058941,            0.039593,            0.010825,             0.65394,             0.54829,             0.57958,             0.26114,            0.055966,            0.034133,           0.0083866,           0.0051274,           0.0051274,           0.0051274
                  59,            0.058712,            0.038946,            0.010595,             0.67119,             0.53215,              0.5772,             0.25842,            0.055886,            0.033877,           0.0087922,           0.0050052,           0.0050052,           0.0050052
                  60,            0.058464,            0.039032,            0.010549,             0.65624,             0.55833,             0.58785,              0.2628,            0.055621,            0.033844,           0.0086762,            0.004884,            0.004884,            0.004884
                  61,            0.058376,            0.038868,            0.010213,             0.65509,             0.55697,             0.58585,             0.26427,            0.055526,            0.034081,           0.0083261,           0.0047639,           0.0047639,           0.0047639
                  62,            0.057827,             0.03925,            0.010106,             0.70174,              0.5477,             0.59181,             0.26926,            0.055224,            0.033825,           0.0081462,            0.004645,            0.004645,            0.004645
                  63,            0.057436,            0.038642,           0.0099192,             0.68597,             0.53781,             0.58714,             0.26574,            0.055019,             0.03384,           0.0080668,           0.0045275,           0.0045275,           0.0045275
                  64,            0.058112,            0.038403,            0.010186,             0.69774,             0.54212,             0.59615,             0.27021,             0.05455,            0.033563,            0.008485,           0.0044114,           0.0044114,           0.0044114
                  65,            0.057477,            0.038463,           0.0097582,             0.67108,             0.56941,             0.60085,             0.27514,            0.054241,            0.033412,           0.0081745,           0.0042969,           0.0042969,           0.0042969
                  66,            0.057104,            0.038398,           0.0098534,              0.6851,             0.56111,             0.60601,              0.2758,            0.054107,            0.033723,           0.0084104,            0.004184,            0.004184,            0.004184
                  67,            0.057113,            0.038454,           0.0099716,             0.70619,             0.53729,             0.59236,             0.26833,            0.054772,            0.033719,           0.0082065,            0.004073,            0.004073,            0.004073
                  68,            0.057377,            0.038347,           0.0099899,             0.65932,             0.56824,             0.60068,             0.27289,            0.054584,            0.033376,           0.0080066,           0.0039638,           0.0039638,           0.0039638
                  69,            0.056263,            0.038178,            0.009509,             0.64032,             0.58807,               0.609,             0.28036,             0.05395,            0.033445,           0.0079935,           0.0038567,           0.0038567,           0.0038567
                  70,            0.056421,            0.037793,           0.0097387,             0.68659,             0.56049,             0.60282,             0.27726,            0.054135,            0.033475,           0.0081463,           0.0037517,           0.0037517,           0.0037517
                  71,            0.056208,            0.038403,           0.0095226,             0.68934,             0.57045,             0.61425,             0.28428,            0.053756,            0.033417,            0.008094,           0.0036489,           0.0036489,           0.0036489
                  72,            0.055629,            0.038394,           0.0090959,             0.68846,             0.57507,             0.61548,             0.28325,            0.053576,            0.033526,           0.0080264,           0.0035484,           0.0035484,           0.0035484
                  73,            0.056211,            0.037928,           0.0094635,             0.63881,             0.59087,             0.61532,              0.2869,            0.053218,            0.033161,           0.0079956,           0.0034503,           0.0034503,           0.0034503
                  74,            0.055416,            0.037822,           0.0093092,             0.67964,             0.57997,             0.61377,             0.28719,            0.053481,             0.03316,           0.0078386,           0.0033548,           0.0033548,           0.0033548
                  75,            0.055332,            0.038119,            0.009096,             0.74307,             0.55136,             0.61914,             0.28728,            0.053018,            0.033248,           0.0079973,           0.0032618,           0.0032618,           0.0032618
                  76,            0.055208,            0.037525,           0.0091773,             0.66762,             0.58941,             0.61836,             0.28925,            0.052666,            0.033086,           0.0078915,           0.0031716,           0.0031716,           0.0031716
                  77,            0.054864,            0.038178,           0.0092012,             0.72459,              0.5707,               0.625,             0.29137,            0.052424,            0.032832,           0.0076504,           0.0030841,           0.0030841,           0.0030841
                  78,            0.054527,            0.037352,           0.0091487,             0.67319,             0.58444,             0.61851,             0.28785,            0.052789,            0.033098,           0.0077371,           0.0029996,           0.0029996,           0.0029996
                  79,            0.054687,            0.036878,           0.0090044,             0.72556,             0.57717,             0.63497,             0.29551,            0.052364,            0.033039,           0.0076865,           0.0029179,           0.0029179,           0.0029179
                  80,            0.053992,            0.037423,            0.008836,             0.69395,             0.59394,             0.63434,             0.29477,            0.052384,            0.033165,           0.0077094,           0.0028394,           0.0028394,           0.0028394
                  81,            0.054707,            0.037567,           0.0091521,             0.67816,             0.58974,             0.61997,             0.29283,            0.052724,            0.033127,           0.0079489,           0.0027639,           0.0027639,           0.0027639
                  82,            0.054255,             0.03711,           0.0089742,             0.72711,             0.57891,             0.63476,             0.29937,            0.052362,            0.032657,           0.0075636,           0.0026917,           0.0026917,           0.0026917
